"","name","team.x","transfer.path.origin.club.from","transfer.path.origin.league","transfer.path.origin.transfer.fee","lon_o","lat_o","team.y","transfer.path.destination.club.from","transfer.path.destination.league.x","transfer.path.destination.transfer.fee","transfer.path.destination.lon","transfer.path.destination.lat"
"42","Abdoulay Konko","Atalanta Italy","Lazio","Serie A",0,12.989615,41.6552418,"Atalanta Italy","Lazio","Serie A",0,12.4330341,43.0882655
"43","Bryan Cabezas","Atalanta Italy","Independiente","Serie A",1.36,-109.6332428,26.9164761,"Atalanta Italy","Independiente","Serie A",1.36,12.4330341,43.0882655
"44","Alberto Paloschi","Atalanta Italy","Swansea","Serie A",5.1,-3.943646,51.62144,"Atalanta Italy","Swansea","Serie A",5.1,12.4330341,43.0882655
"45","Diogo Jota","Atlético Madrid Spain","Paços Ferreira","La Liga",6.12,-8.2211022,42.1299821,NA,NA,NA,NA,NA,NA
"46","Nico Gaitán","Atlético Madrid Spain","Benfica","La Liga",21.25,-43.2397455,-22.8926246,NA,NA,NA,NA,NA,NA
"47","Sime Vrsaljko","Atlético Madrid Spain","Sassuolo","La Liga",13.6,10.7847741,44.54433,NA,NA,NA,NA,NA,NA
"48","Fernando Torres","Atlético Madrid Spain","AC Milan","La Liga",0,6.2230139,50.7654394,NA,NA,NA,NA,NA,NA
"49","Kévin Gameiro","Atlético Madrid Spain","Sevilla FC","La Liga",27.2,-109.9259886,27.4907255,NA,NA,NA,NA,NA,NA
"50","Jonas Meffert","Bay Leverkusen Germany","Karlsruher SC","Bundesliga",0.51,8.4145779,49.0168232,"Bay Leverkusen Germany","Karlsruher SC","Bundesliga",0.51,6.9946126,51.0157534
"51","Jonas Meffert","Bay Leverkusen Germany","Karlsruher SC","Bundesliga",0.51,8.4145779,49.0168232,"SC Freiburg Germany","Bay. Leverkusen","Bundesliga",1.02,8.274477,48.084436
"52","Kevin Volland","Bay Leverkusen Germany","TSG Hoffenheim","Bundesliga",17,NA,NA,"Bay Leverkusen Germany","TSG Hoffenheim","Bundesliga",17,6.9946126,51.0157534
"53","Julian Baumgartlinger","Bay Leverkusen Germany","1.FSV Mainz 05","Bundesliga",3.4,NA,NA,"Bay Leverkusen Germany","1.FSV Mainz 05","Bundesliga",3.4,6.9946126,51.0157534
"54","Danny da Costa","Bay Leverkusen Germany","FC Ingolstadt","Bundesliga",0.425,11.4257541,48.7665351,"Bay Leverkusen Germany","FC Ingolstadt","Bundesliga",0.425,6.9946126,51.0157534
"55","Sam Schreck","Bay Leverkusen Germany","St. Pauli U17","Bundesliga",0,9.4541656,52.9609358,"Bay Leverkusen Germany","St. Pauli U17","Bundesliga",0,6.9946126,51.0157534
"56","Aleksandar Dragovic","Bay Leverkusen Germany","Dynamo Kyiv","Bundesliga",15.3,30.564428,50.32,"Bay Leverkusen Germany","Dynamo Kyiv","Bundesliga",15.3,6.9946126,51.0157534
"57","Renato Sanches","Bayern Munich  Germany","Benfica","Bundesliga",29.75,-43.2397455,-22.8926246,"Bayern Munich  Germany","Benfica","Bundesliga",29.75,11.5819806,48.1351253
"58","Mats Hummels","Bayern Munich  Germany","Bor. Dortmund","Bundesliga",29.75,7.3714033,51.4918469,"Bayern Munich  Germany","Bor. Dortmund","Bundesliga",29.75,11.5819806,48.1351253
"59","Blerim Dzemaili","Bologna Italy","Galatasaray","Serie A",1.11,29.3190451,40.8236671,"Bologna Italy","Galatasaray","Serie A",1.11,11.3426163,44.494887
"60","Deian Boldor","Bologna Italy","Virtus Lanciano","Serie A",0.425,NA,NA,"Bologna Italy","Virtus Lanciano","Serie A",0.425,11.3426163,44.494887
"61","Lorenzo Crisetig","Bologna Italy","Inter","Serie A",2.3,-89.6412899,20.9544631,"Bologna Italy","Inter","Serie A",2.3,11.3426163,44.494887
"62","Andrea Vassallo","Bologna Italy","Milan U19","Serie A",0,-98.527249,29.6133955,"Bologna Italy","Milan U19","Serie A",0,11.3426163,44.494887
"63","Vasilis Torosidis","Bologna Italy","AS Roma","Serie A",0,-58.5214952,-34.6284822,"Bologna Italy","AS Roma","Serie A",0,11.3426163,44.494887
"64","Ladislav Krejcí","Bologna Italy","Sparta Praha","Serie A",3.23,NA,NA,"Bologna Italy","Sparta Praha","Serie A",3.23,11.3426163,44.494887
"65","Lorenzo Musto","Bologna Italy","Torres","Serie A",0,-49.723909,-29.3344108,"Bologna Italy","Torres","Serie A",0,11.3426163,44.494887
"66","Godfred Donsah","Bologna Italy","Cagliari Calcio","Serie A",4.25,9.0901144,39.2132322,"Bologna Italy","Cagliari Calcio","Serie A",4.25,11.3426163,44.494887
"67","Federico Di Francesco","Bologna Italy","Virtus Lanciano","Serie A",1.19,NA,NA,"Bologna Italy","Virtus Lanciano","Serie A",1.19,11.3426163,44.494887
"68","Luca Rizzo","Bologna Italy","Sampdoria","Serie A",5.1,-100.7169119,20.0188739,"Bologna Italy","Sampdoria","Serie A",5.1,11.3426163,44.494887
"69","Ádám Nagy","Bologna Italy","Ferencváros","Serie A",1.28,19.0819885,47.4683766,"Bologna Italy","Ferencváros","Serie A",1.28,11.3426163,44.494887
"70","Simone Verdi","Bologna Italy","AC Milan","Serie A",1.28,6.2230139,50.7654394,"Bologna Italy","AC Milan","Serie A",1.28,11.3426163,44.494887
"71","Marc Bartra","Bor Dortmund Germany","FC Barcelona","Bundesliga",6.8,2.1178229,41.3806915,"Bor Dortmund Germany","FC Barcelona","Bundesliga",6.8,7.3714033,51.4918469
"72","Mario Götze","Bor Dortmund Germany","Bayern Munich ","Bundesliga",18.7,11.5819806,48.1351253,"Bor Dortmund Germany","Bayern Munich ","Bundesliga",18.7,7.3714033,51.4918469
"73","André Schürrle","Bor Dortmund Germany","VfL Wolfsburg","Bundesliga",25.5,10.7979685,52.4257066,"Bor Dortmund Germany","VfL Wolfsburg","Bundesliga",25.5,7.3714033,51.4918469
"74","Emre Mor","Bor Dortmund Germany","Nordsjaelland","Bundesliga",5.95,NA,NA,"Bor Dortmund Germany","Nordsjaelland","Bundesliga",5.95,7.3714033,51.4918469
"75","Raphaël Guerreiro","Bor Dortmund Germany","FC Lorient","Bundesliga",10.2,NA,NA,"Bor Dortmund Germany","FC Lorient","Bundesliga",10.2,7.3714033,51.4918469
"76","Ousmane Dembélé","Bor Dortmund Germany","Rennes","Bundesliga",12.75,-1.6777926,48.117266,"Bor Dortmund Germany","Rennes","Bundesliga",12.75,7.3714033,51.4918469
"77","Sebastian Rode","Bor Dortmund Germany","Bayern Munich ","Bundesliga",10.2,11.5819806,48.1351253,"Bor Dortmund Germany","Bayern Munich ","Bundesliga",10.2,7.3714033,51.4918469
"78","Mikel Merino","Bor Dortmund Germany","CA Osasuna","Bundesliga",3.19,-86.8746827,21.1251616,"Bor Dortmund Germany","CA Osasuna","Bundesliga",3.19,7.3714033,51.4918469
"79","Mamadou Doucouré","Bor M'gladbach Germany","Paris SG B","Bundesliga",0,2.3350238,48.8533958,"Bor M'gladbach Germany","Paris SG B","Bundesliga",0,6.7699489,49.9352107
"80","Tobias Strobl","Bor M'gladbach Germany","TSG Hoffenheim","Bundesliga",0,NA,NA,"Bor M'gladbach Germany","TSG Hoffenheim","Bundesliga",0,6.7699489,49.9352107
"81","Lászlo Bénes","Bor M'gladbach Germany","MSK Zilina","Bundesliga",1.7,NA,NA,"Bor M'gladbach Germany","MSK Zilina","Bundesliga",1.7,6.7699489,49.9352107
"82","Jannik Vestergaard","Bor M'gladbach Germany","Werder Bremen","Bundesliga",10.63,8.809285,53.0696545,"Bor M'gladbach Germany","Werder Bremen","Bundesliga",10.63,6.7699489,49.9352107
"83","Christoph Kramer","Bor M'gladbach Germany","Bay. Leverkusen","Bundesliga",12.75,6.9946126,51.0157534,"Bor M'gladbach Germany","Bay. Leverkusen","Bundesliga",12.75,6.7699489,49.9352107
"84","Lys Mousset","Bournemouth UK","AC Le Havre","Premier league",5.53,NA,NA,"Bournemouth UK","AC Le Havre","Premier league",5.53,-1.880769,50.719164
"85","Emerson Hyndman","Bournemouth UK","Fulham FC","Premier league",0,-0.2470864,51.3912756,"Bournemouth UK","Fulham FC","Premier league",0,-1.880769,50.719164
"86","Jordon Ibe","Bournemouth UK","Liverpool","Premier league",15.3,-2.9915726,53.4083714,"Bournemouth UK","Liverpool","Premier league",15.3,-1.880769,50.719164
"87","Marc Wilson","Bournemouth UK","Stoke City","Premier league",1.96,-2.179404,53.002668,"Bournemouth UK","Stoke City","Premier league",1.96,-1.880769,50.719164
"88","Lewis Cook","Bournemouth UK","Leeds","Premier league",5.95,-1.5490774,53.8007554,"Bournemouth UK","Leeds","Premier league",5.95,-1.880769,50.719164
"89","Brad Smith","Bournemouth UK","Liverpool","Premier league",3.06,-2.9915726,53.4083714,"Bournemouth UK","Liverpool","Premier league",3.06,-1.880769,50.719164
"90","Jeff Hendrick","Burnley Football Club UK","Derby","Premier league",10.03,-1.4746186,52.9225301,"Burnley Football Club UK","Derby","Premier league",10.03,-2.2405035,53.7892877
"91","Steven Defour","Burnley Football Club UK","RSC Anderlecht","Premier league",7.31,NA,NA,"Burnley Football Club UK","RSC Anderlecht","Premier league",7.31,-2.2405035,53.7892877
"92","Johann Berg Gudmundsson","Burnley Football Club UK","Charlton","Premier league",2.55,-71.970074,42.13565,"Burnley Football Club UK","Charlton","Premier league",2.55,-2.2405035,53.7892877
"93","Fran Mérida","CA Osasuna Spain","SD Huesca","La Liga",0.425,NA,NA,"CA Osasuna Spain","SD Huesca","La Liga",0.425,-6.1489372,36.4117625
"94","Javi Álamo","CA Osasuna Spain","Girona FC","La Liga",0,NA,NA,"CA Osasuna Spain","Girona FC","La Liga",0,-6.1489372,36.4117625
"95","Juan Rafael Fuentes","CA Osasuna Spain","Espanyol","La Liga",0,2.641692,39.6293694,"CA Osasuna Spain","Espanyol","La Liga",0,-6.1489372,36.4117625
"96","Fausto","CA Osasuna Spain","AD Alcorcón","La Liga",0,NA,NA,"CA Osasuna Spain","AD Alcorcón","La Liga",0,-6.1489372,36.4117625
"97","Sergio León","CA Osasuna Spain","Elche CF","La Liga",1.45,-0.6690555,38.2645632,"CA Osasuna Spain","Elche CF","La Liga",1.45,-6.1489372,36.4117625
"98","Goran Causic","CA Osasuna Spain","Eskisehirspor","La Liga",0,NA,NA,"CA Osasuna Spain","Eskisehirspor","La Liga",0,-6.1489372,36.4117625
"99","Jaime Romero","CA Osasuna Spain","Udinese Calcio","La Liga",0,13.2056341,46.0408771,"CA Osasuna Spain","Udinese Calcio","La Liga",0,-6.1489372,36.4117625
"100","Carlos Clerc","CA Osasuna Spain","Espanyol","La Liga",0,2.641692,39.6293694,"CA Osasuna Spain","Espanyol","La Liga",0,-6.1489372,36.4117625
"101","Artur Ionita","Cagliari Calcio Italy","Hellas Verona","Serie A",3.83,NA,NA,"Cagliari Calcio Italy","Hellas Verona","Serie A",3.83,9.0901144,39.2132322
"102","Bruno Alves","Cagliari Calcio Italy","Fenerbahce","Serie A",0,24.4447587,36.7252955,"Cagliari Calcio Italy","Fenerbahce","Serie A",0,9.0901144,39.2132322
"103","Marko Pajac","Cagliari Calcio Italy","NK Celje ","Serie A",0.34,NA,NA,"Cagliari Calcio Italy","NK Celje ","Serie A",0.34,9.0901144,39.2132322
"104","Simone Padoin","Cagliari Calcio Italy","Juventus","Serie A",0.51,-100.363932,25.733185,"Cagliari Calcio Italy","Juventus","Serie A",0.51,9.0901144,39.2132322
"105","Marco Borriello","Cagliari Calcio Italy","Atalanta","Serie A",0,-49.7793508,-27.4224135,"Cagliari Calcio Italy","Atalanta","Serie A",0,9.0901144,39.2132322
"106","Mauricio Isla","Cagliari Calcio Italy","Juventus","Serie A",3.4,-100.363932,25.733185,"Cagliari Calcio Italy","Juventus","Serie A",3.4,9.0901144,39.2132322
"107","Mamadou Koné","CD Leganés Spain","Racing","La Liga",1.02,-56.4613157,-34.7445711,NA,NA,NA,NA,NA,NA
"108","Gabriel","CD Leganés Spain","Juventus","La Liga",0.85,-100.363932,25.733185,"Inter Milan Italy","Santos FC","Serie A",25.08,9.314365,45.659238
"109","Gabriel","CD Leganés Spain","Juventus","La Liga",0.85,-100.363932,25.733185,"Inter Milan Italy","Santos FC","Serie A",25.08,9.314365,45.659238
"110","Gabriel","CD Leganés Spain","Juventus","La Liga",0.85,-100.363932,25.733185,"Inter Milan Italy","Santos FC","Serie A",25.08,9.314365,45.659238
"111","Gabriel","CD Leganés Spain","Juventus","La Liga",0.85,-100.363932,25.733185,"Inter Milan Italy","Santos FC","Serie A",25.08,9.314365,45.659238
"112","Diego Rico","CD Leganés Spain","Real Zaragoza","La Liga",0.85,-98.2108921,19.0800113,NA,NA,NA,NA,NA,NA
"113","Carl Medjani","CD Leganés Spain","Levante UD","La Liga",0,-0.3887798,39.4961244,NA,NA,NA,NA,NA,NA
"114","Unai Bustinza","CD Leganés Spain","Athletic Bilbao","La Liga",0,-2.7530628,43.298455,NA,NA,NA,NA,NA,NA
"115","Miguel Ángel Guerrero","CD Leganés Spain","Sporting Gijón","La Liga",0,-5.6386025,43.5347956,NA,NA,NA,NA,NA,NA
"116","Pione Sisto","Sede Real Club Celta de Vigo Spain","FC Midtjylland","La Liga",5.1,NA,NA,"Sede Real Club Celta de Vigo Spain","FC Midtjylland","La Liga",5.1,42.230694,-8.720006
"117","José Naranjo","Sede Real Club Celta de Vigo Spain","Gimnàstic","La Liga",0.85,-0.5222117,38.404561,"Sede Real Club Celta de Vigo Spain","Gimnàstic","La Liga",0.85,42.230694,-8.720006
"118","Facundo Roncaglia","Sede Real Club Celta de Vigo Spain","Fiorentina","La Liga",0,10.5355882,42.9636137,"Sede Real Club Celta de Vigo Spain","Fiorentina","La Liga",0,42.230694,-8.720006
"119","Michy Batshuayi","Chelsea UK","Marseille","Premier league",33.15,5.36978,43.296482,"Chelsea UK","Marseille","Premier league",33.15,-0.174936,51.485093
"120","Marcos Alonso","Chelsea UK","Fiorentina","Premier league",19.55,10.5355882,42.9636137,"Chelsea UK","Fiorentina","Premier league",19.55,-0.174936,51.485093
"121","N'Golo Kanté","Chelsea UK","Leicester","Premier league",30.43,-1.1397592,52.6368778,"Chelsea UK","Leicester","Premier league",30.43,-0.174936,51.485093
"122","David Luiz","Chelsea UK","Paris SG","Premier league",32.73,2.3350238,48.8533958,"Chelsea UK","Paris SG","Premier league",32.73,-0.174936,51.485093
"123","Fabrizio Danese","Chievo Verona Italy","Nuorese","Serie A",0,9.3264377,40.3202421,"Chievo Verona Italy","Nuorese","Serie A",0,10.9466529,45.4575193
"124","Samuel Bastien","Chievo Verona Italy","RSC Anderlecht","Serie A",1.11,NA,NA,"Chievo Verona Italy","RSC Anderlecht","Serie A",1.11,10.9466529,45.4575193
"125","Fabio Daprelà","Chievo Verona Italy","Carpi","Serie A",0,10.8796629,44.7838779,"Chievo Verona Italy","Carpi","Serie A",0,10.9466529,45.4575193
"126","Federico Alonzi","Chievo Verona Italy","Nuorese","Serie A",0,9.3264377,40.3202421,"Chievo Verona Italy","Nuorese","Serie A",0,10.9466529,45.4575193
"127","Paul-José Mpoku","Chievo Verona Italy","Standard Liège","Serie A",3.4,5.545162,50.610246,"Chievo Verona Italy","Standard Liège","Serie A",3.4,10.9466529,45.4575193
"128","Antonio Cinelli","Chievo Verona Italy","Cagliari Calcio","Serie A",0,9.0901144,39.2132322,"Chievo Verona Italy","Cagliari Calcio","Serie A",0,10.9466529,45.4575193
"129","Luca Baldassin","Chievo Verona Italy","Padova","Serie A",0,11.8767611,45.4064349,"Chievo Verona Italy","Padova","Serie A",0,10.9466529,45.4575193
"130","Sergio Cruz","Chievo Verona Italy","Lumezzane","Serie A",0,10.2654082,45.6474809,"Chievo Verona Italy","Lumezzane","Serie A",0,10.9466529,45.4575193
"131","Ante Budimir","Crotone Italy","FC St. Pauli","Serie A",0.85,NA,NA,"Crotone Italy","FC St. Pauli","Serie A",0.85,17.1271102,39.0807932
"132","Ante Budimir","Crotone Italy","FC St. Pauli","Serie A",0.85,NA,NA,"Sampdoria Italy","Crotone","Serie A",1.53,8.9526748,44.4155383
"133","Noë Dussenne","Crotone Italy","Mouscron","Serie A",0.808,3.2192907,50.7459126,"Crotone Italy","Mouscron","Serie A",0.808,17.1271102,39.0807932
"134","Marcus Rohdén","Crotone Italy","IF Elfsborg","Serie A",0.425,NA,NA,"Crotone Italy","IF Elfsborg","Serie A",0.425,17.1271102,39.0807932
"135","Andrea Mazzarani","Crotone Italy","Modena FC","Serie A",0,12.4034644,44.0961527,"Crotone Italy","Modena FC","Serie A",0,17.1271102,39.0807932
"136","Leonardo Capezzi","Crotone Italy","Fiorentina","Serie A",0.68,10.5355882,42.9636137,"Crotone Italy","Fiorentina","Serie A",0.68,17.1271102,39.0807932
"137","Leonardo Capezzi","Crotone Italy","Fiorentina","Serie A",0.68,10.5355882,42.9636137,"Sampdoria Italy","Crotone","Serie A",0.85,8.9526748,44.4155383
"138","Simy","Crotone Italy","Portimonense","Serie A",0.723,NA,NA,"Crotone Italy","Portimonense","Serie A",0.723,17.1271102,39.0807932
"139","Andrea Nalini","Crotone Italy","Salernitana","Serie A",0,13.512867,38.0829586,"Crotone Italy","Salernitana","Serie A",0,17.1271102,39.0807932
"140","Nicolò Fazzi","Crotone Italy","Fiorentina","Serie A",0.043,10.5355882,42.9636137,"Crotone Italy","Fiorentina","Serie A",0.043,17.1271102,39.0807932
"141","Andrea Scicchitano","Crotone Italy","Racing Roma","Serie A",0,-76.2248645,41.9957845,"Crotone Italy","Racing Roma","Serie A",0,17.1271102,39.0807932
"142","Mario Sampirisi","Crotone Italy","Vicenza","Serie A",0,11.5354214,45.5454787,"Crotone Italy","Vicenza","Serie A",0,17.1271102,39.0807932
"143","Aleksandar Tonev","Crotone Italy","Frosinone","Serie A",0,13.3426341,41.6396009,"Crotone Italy","Frosinone","Serie A",0,17.1271102,39.0807932
"144","Federico Ceccherini","Crotone Italy","AS Livorno","Serie A",0.765,10.3105674,43.548473,"Crotone Italy","AS Livorno","Serie A",0.765,17.1271102,39.0807932
"145","Jonathan Benteke","Crystal Palace UK","Zulte Waregem","Premier league",0.085,3.4231317,50.8869521,"Crystal Palace UK","Zulte Waregem","Premier league",0.085,-0.0785415,51.4198825
"146","James Tomkins","Crystal Palace UK","West Ham","Premier league",9.95,-1.1139932,51.2641437,"Crystal Palace UK","West Ham","Premier league",9.95,-0.0785415,51.4198825
"147","Christian Benteke","Crystal Palace UK","Liverpool","Premier league",26.52,-2.9915726,53.4083714,"Crystal Palace UK","Liverpool","Premier league",26.52,-0.0785415,51.4198825
"148","Andros Townsend","Crystal Palace UK","Newcastle","Premier league",13.26,-1.61778,54.978252,"Crystal Palace UK","Newcastle","Premier league",13.26,-0.0785415,51.4198825
"149","Juanfran","Dep La Coruña Spain","Watford","La Liga",0,-0.39032,51.656489,"SD Eibar Spain","Villanovense","La Liga",0,-2.4715422,43.1832096
"150","Juanfran","Dep La Coruña Spain","Watford","La Liga",0,-0.39032,51.656489,"SD Eibar Spain","Villanovense","La Liga",0,-2.4715422,43.1832096
"151","Bruno Gama","Dep La Coruña Spain","Dnipro","La Liga",0,35.046183,48.464717,NA,NA,NA,NA,NA,NA
"152","Juanfran","Dep La Coruña Spain","Watford","La Liga",0,-0.39032,51.656489,"SD Eibar Spain","Villanovense","La Liga",0,-2.4715422,43.1832096
"153","Juanfran","Dep La Coruña Spain","Watford","La Liga",0,-0.39032,51.656489,"SD Eibar Spain","Villanovense","La Liga",0,-2.4715422,43.1832096
"154","Borja Valle","Dep La Coruña Spain","Real Oviedo","La Liga",0,-103.4025959,20.7593298,NA,NA,NA,NA,NA,NA
"155","Raúl Albentosa","Dep La Coruña Spain","Derby","La Liga",0.68,-1.4746186,52.9225301,NA,NA,NA,NA,NA,NA
"156","Emre Colak","Dep La Coruña Spain","Galatasaray","La Liga",0,29.3190451,40.8236671,NA,NA,NA,NA,NA,NA
"157","Florin Andone","Dep La Coruña Spain","Córdoba CF","La Liga",3.4,-58.410285,-34.5981075,NA,NA,NA,NA,NA,NA
"158","Fayçal Fajr","Dep La Coruña Spain","Elche CF","La Liga",0,-0.6690555,38.2645632,NA,NA,NA,NA,NA,NA
"159","Ádám Lang","Dijon France","Videoton FC","Ligue 1",0.85,NA,NA,"Dijon France","Videoton FC","Ligue 1",0.85,5.04148,47.322047
"160","Arnold Bouka Moutou","Dijon France","SCO Angers","Ligue 1",0.34,NA,NA,"Dijon France","SCO Angers","Ligue 1",0.34,5.04148,47.322047
"161","Mehdi Abeid","Dijon France","Panathinaikos","Ligue 1",0.213,NA,NA,"Dijon France","Panathinaikos","Ligue 1",0.213,5.04148,47.322047
