"","name","transfer.date","club.from","club.to","transfer.fee","positions","nationality","birth_place","appearances","total.goals","total.assists","substitutions_in","substitutions_out","yellowcards","secondyellow","redcards","penaltygoals","minutes.pr.goal","total.minutes.played","contract.left.month","birth.date","transferage","league","Status"
"18","Luke Brattan","2015/10/26","Brisbane Roar","Manchester City",0,"
                                Midfield                            ","Australia","Hull",30,0,0,0,0,6,0,0,0,NA,2656,NA,"1990/3/8",25.6344969199179,"Premier league","Top Club"
"19","Mohamed Elneny","2016/1/14","FC Basel","Arsenal",10630000,"
                                Midfield                            ","Egypt","Mahalla",42,3,3,13,13,5,0,0,0,944,2831,NA,"1992/7/11",23.5099247091034,"Premier league","Top Club"
"20","Jeff Reine-Adelaide","2015/7/1","RC Lens U19","Arsenal",2130000,"
                                Attacker                            ","France","Champigny-sur-Marne",0,0,0,0,0,0,0,0,0,NA,NA,NA,"1998/1/17",17.45106091718,"Premier league","Top Club"
"21","Ismaël Bennacer","2015/7/30","AC Arles-Avign.","Arsenal",255000,"
                                Midfield                            ","Algeria","Arles",7,1,0,2,2,0,0,0,0,421,421,NA,"1997/12/1",17.6591375770021,"Premier league","Top Club"
"22","Anthony Martial","2015/9/1","Monaco","Manchester Utd.",42500000,"
                                Attacker                            ","France","Massy",48,12,5,22,22,2,0,0,2,213,2560,45.9301848049281,"1995/12/5",19.7399041752224,"Premier league","Top Club"
"23","Morgan Schneiderlin","2015/7/13","Southampton","Manchester Utd.",29750000,"
                                Midfield                            ","France","Zellwiller",30,5,1,2,2,7,1,0,0,509,2546,NA,"1989/11/8",25.6755646817248,"Premier league","Top Club"
"24","Memphis Depay","2015/7/1","PSV Eindhoven","Manchester Utd.",28900000,"
                                Attacker                            ","Netherlands","Moordrecht",40,28,8,1,1,4,0,0,2,121,3387,35.9753593429158,"1994/2/13",21.3771389459274,"Premier league","Top Club"
"25","Matteo Darmian","2015/7/11","Torino","Manchester Utd.",15300000,"
                                Defender                            ","Italy","Legnano",46,5,4,4,4,4,0,0,0,759,3793,23.6550308008214,"1989/12/2",25.6043805612594,"Premier league","Top Club"
"26","Bastian Schweinsteiger","2015/7/13","Bayern Munich ","Manchester Utd.",7650000,"
                                Midfield                            ","Germany","Kolbermoor",28,5,8,7,7,6,0,0,0,387,1937,11.5975359342916,"1984/8/1",30.9459274469541,"Premier league","Top Club"
"27","Regan Poole","2015/9/1","Newport County","Manchester Utd.",170000,"
                                    Defender                                ","Wales","Cardiff",12,0,0,0,0,0,0,0,0,NA,1013,NA,"1998/6/18",17.2046543463381,"Premier league","Top Club"
"28","Heung-Min Son","2015/8/28","Bay. Leverkusen","Spurs",25500000,"
                                Attacker                            ","Korea, South","Chuncheon, Gangwon",42,17,4,4,4,4,0,1,0,187,3179,34.0698151950719,"1992/7/8",23.1375770020534,"Premier league","Top Club"
"29","Toby Alderweireld","2015/7/8","Atlético Madrid","Spurs",13600000,"
                                Defender                            ","Belgium","Wilrijk",28,1,0,2,2,3,0,0,0,2279,2279,23.7535934291581,"1989/3/2",26.3490759753593,"Premier league","Top Club"
"30","Clinton N'Jie","2015/8/15","Olympique Lyon","Spurs",11990000,"
                                Attacker                            ","Cameroon","Douala",33,8,9,16,16,1,0,0,0,214,1715,46.4887063655031,"1993/8/15",21.9986310746064,"Premier league","Top Club"
"31","Kevin Wimmer","2015/7/1","1. FC Köln","Spurs",5100000,"
                                Defender                            ","Austria","Wels",34,0,0,0,0,5,0,1,0,NA,3090,47.9671457905544,"1992/11/15",22.6228610540726,"Premier league","Top Club"
"32","Kieran Trippier","2015/7/1","Burnley FC","Spurs",4170000,"
                                Defender                            ","England","Bury",41,0,5,0,0,2,0,0,0,NA,3663,23.9835728952772,"1990/9/19",24.7802874743326,"Premier league","Top Club"
"33","Christian Benteke","2015/7/22","Aston Villa","Liverpool",39530000,"
                                Attacker                            ","Belgium","Kinshasa",35,16,3,3,3,1,0,1,2,181,2893,23.2936344969199,"1990/12/3",24.6324435318275,"Premier league","Middle Club"
"34","Roberto Firmino","2015/7/1","TSG Hoffenheim","Liverpool",34850000,"
                                Attacker                            ","Brazil","Maceió",36,10,12,0,0,7,0,0,0,320,3201,NA,"1991/10/2",23.7453798767967,"Premier league","Middle Club"
"35","Nathaniel Clyne","2015/7/1","Southampton","Liverpool",15050000,"
                                Defender                            ","England","London",41,3,0,0,0,6,0,0,0,1229,3687,NA,"1991/4/5",24.2381930184805,"Premier league","Middle Club"
"36","Danny Ings","2015/7/1","Burnley FC","Liverpool",7060000,"
                                Attacker                            ","England","Winchester",37,11,4,1,1,6,0,0,1,284,3121,NA,"1992/7/23",22.9377138945927,"Premier league","Middle Club"
