"","index","lon","lat"
"972",852,-75.116667,-14.666667
"973",852,-2.9915726,53.4083714
"974",852,-98.596603,29.5134897
"975",852,11.5819806,48.1351253
"979",852,2.1178229,41.3806915
"980",852,2.1178229,41.3806915
"981",852,3.057256,50.62925
"982",852,-2.487529,53.748575
"983",852,-71.4547891,42.9956397
"984",852,-1.995159,52.517664
"985",852,-58.410285,-34.5981075
"986",852,-71.4547891,42.9956397
"987",852,1.297355,52.6308859
"988",852,1.12304,51.8909056
"989",852,1.14822,52.056736
"990",852,4.3871779,45.439695
"991",852,1.297355,52.6308859
"992",852,-80.0032,40.4398
"993",852,-1.234956,54.574227
"994",852,-1.5077223,53.4158749
"995",852,-2.487529,53.748575
"996",852,-75.9268747,40.3356483
"997",852,-1.4043509,50.9097004
"998",852,-93.702428,37.3425477
"999",852,13.2056341,46.0408771
"1000",852,13.2056341,46.0408771
"1001",852,-1.6777926,48.117266
"1002",852,-109.30151,35.1709339
"1003",852,37.436128,55.817478
"1004",852,13.2056341,46.0408771
"1005",852,-4.4212655,36.721261
"1006",852,-4.4212655,36.721261
"1008",852,4.7601215,52.62921
"1009",852,10.5355882,42.9636137
"1010",852,10.5355882,42.9636137
"1011",852,16.3378572,57.6027778
"1012",852,-58.5214952,-34.6284822
"1014",852,8.809285,53.0696545
"1015",852,13.2056341,46.0408771
"1016",852,-80.0032,40.4398
"1017",852,24.3843233,44.4212038
"1018",852,-1.383801,54.906869
"1019",852,-93.702428,37.3425477
"1020",852,10.7979685,52.4257066
"1021",852,-70.9078346,42.3020647
"1022",852,-1.995159,52.517664
"1023",852,16.1163926,45.7062291
"1024",852,-1.1139932,51.2641437
"1025",852,-71.5642076,41.6885978
"1026",852,-1.995159,52.517664
"1027",852,-2.487529,53.748575
"1028",852,-1.0872979,53.9599651
"1029",852,-100.363932,25.733185
"1030",852,34.193604,47.7349473
"1036",852,-45.0841897,-23.458773
"1037",852,11.5819806,48.1351253
"1039",852,8.5039272,47.3813654
"1040",852,-0.07273,51.5862436
"1041",852,6.9946126,51.0157534
"1042",852,7.3714033,51.4918469
"1043",852,-71.0328284,42.3917638
"1045",852,8.5039272,47.3813654
"1046",852,-70.8273689,42.118527
