"","club.to","name","transfer.date","club.from","transfer.fee","positions","nationality","birth_place","appearances","total.goals","total.assists","substitutions_in","substitutions_out","yellowcards","secondyellow","redcards","penaltygoals","minutes.pr.goal","total.minutes.played","contract.left.month","birth.date","transferage","searchresults","league","Status"
"162","E. Frankfurt","Taleb Tawatha","2016/7/5","Maccabi Haifa",1.02,"
                                Defender                            ","Israel","Dschisr az-Zarqa",27,0,3,0,0,3,0,1,0,NA,2289,35.8110882956879,"1992/6/21",24.0383299110199,1360,"Bundesliga","Bottom Club"
"163","E. Frankfurt","Danny Blum","2016/7/1","1.FC Nuremberg",0,"
                                Attacker                            ","Germany","Frankenthal",34,5,8,19,19,7,0,0,0,301,1506,11.958932238193,"1991/1/7",25.4811772758385,2930,"Bundesliga","Bottom Club"
"164","Espanyol","Álvaro Vázquez","2016/8/31","Getafe CF",1.7,"
                                Attacker                            ","Spain","Badalona",35,6,4,10,10,6,0,0,1,347,2079,NA,"1991/4/27",25.347022587269,4270,"La Liga","Middle Club"
"165","Espanyol","Javi Fuego","2016/8/13","Valencia CF",0.85,"
                                Midfield                            ","Spain","Pola de Siero",38,0,1,6,6,13,1,0,0,NA,2872,10.5462012320329,"1984/1/4",32.6078028747433,44400,"La Liga","Middle Club"
"166","Espanyol","Leo Baptistão","2016/7/9","Atlético Madrid",2.98,"
                                Attacker                            ","Brazil","Santos",34,6,2,17,17,2,0,0,0,287,1720,23.6878850102669,"1992/8/26",23.8685831622177,3940,"La Liga","Middle Club"
"167","Espanyol","Martín Demichelis","2016/8/10","Manchester City",0,"
                                Defender                            ","Argentina","Justiniano Posse",31,1,0,14,14,5,0,0,0,1761,1761,NA,"1980/12/20",35.6386036960986,34900,"La Liga","Middle Club"
"168","Espanyol","José Manuel Jurado","2016/7/5","Watford",1.02,"
                                Attacker                            ","Spain","Sanlúcar de ...",31,0,3,1,1,4,0,0,0,NA,2273,NA,"1986/6/29",30.0177960301164,6860,"La Liga","Middle Club"
"169","Espanyol","David López","2016/8/26","SSC Napoli",3.4,"
                                Midfield                            ","Spain","Barcelona",35,1,2,19,19,5,0,0,0,1545,1545,34.1026694045175,"1989/10/9",26.880219028063,13700,"La Liga","Middle Club"
"170","Espanyol","José Antonio Reyes","2016/7/1","Sevilla FC",0,"
                                Attacker                            ","Spain","Utrera (Sevilla)",34,4,3,11,11,7,0,0,0,475,1898,11.958932238193,"1983/9/1",32.8323066392882,21600,"La Liga","Middle Club"
"171","Everton","Idrissa Gueye","2016/8/2","Aston Villa",7.23,"
                                Midfield                            ","Senegal","Dakar",38,1,1,1,1,10,0,0,0,3299,3299,34.8911704312115,"1989/9/26",26.8501026694045,59600,"Premier league","Middle Club"
