"","club.to","name","transfer.date","club.from","transfer.fee","positions","nationality","birth_place","appearances","total.goals","total.assists","substitutions_in","substitutions_out","yellowcards","secondyellow","redcards","penaltygoals","minutes.pr.goal","total.minutes.played","contract.left.month","birth.date","transferage","searchresults","league","Status"
"24","Arsenal","Granit Xhaka","2016/7/1","Bor. M'gladbach",38.25,"
                                Midfield                            ","Switzerland","Basel",36,3,2,0,0,7,2,1,1,1028,3085,35.9425051334702,"1992/9/27",23.7590691307324,97800,"Premier league","Top Club"
"25","Arsenal","Shkodran Mustafi","2016/8/30","Valencia CF",34.85,"
                                Defender                            ","Germany","Bad Hersfeld",44,2,2,0,0,19,0,1,0,1948,3896,33.9712525667351,"1992/4/17",24.3696098562628,253000,"Premier league","Top Club"
"26","Arsenal","Lucas Pérez","2016/8/30","Dep. La Coruña",17,"
                                Attacker                            ","Spain","A Coruña",39,19,11,2,2,6,0,0,1,176,3341,NA,"1988/9/10",27.9698836413415,77500,"Premier league","Top Club"
"27","Arsenal","Takuma Asano","2016/7/18","Sanf. Hiroshima",3.4,"
                                Attacker                            ","Japan","Komono, Mie",23,9,5,10,10,1,0,0,1,153,1373,NA,"1994/11/10",21.6865160848734,14700,"Premier league","Top Club"
"28","AS Nancy","Alou Diarra","2016/9/1","Charlton",0,"
                                Midfield                            ","France","Villepinte",33,0,0,1,1,10,0,1,0,NA,2734,9.92197125256673,"1981/7/15",35.1321013004791,53100,"Ligue 1","Promoted"
"29","AS Nancy","Anthony Koura","2016/7/5","Olympique Nîmes",0,"
                                Attacker                            ","France","Le Mans",29,9,0,7,7,1,0,0,0,215,1934,NA,"1993/5/6",23.1649555099247,884,"Ligue 1","Promoted"
"30","AS Nancy","Issiar Dia","2016/8/31","Al-Kharitiyat",0,"
                                Attacker                            ","Senegal","Sèvres",13,0,0,6,6,0,0,0,0,NA,535,NA,"1987/6/8",29.2320328542094,2630,"Ligue 1","Promoted"
"31","AS Roma","Abdullahi Nura","2016/7/1","Spezia Calcio",2.13,"
                                Defender                            ","Nigeria","Kaduna",18,3,3,1,1,2,0,0,0,479,1436,NA,"1997/8/17",18.8720054757016,1600,"Serie A","Top Club"
"32","AS Roma","Moustapha Seck","2016/7/1","Lazio",0,"
                                Defender                            ","Senegal","Dakar",2,0,0,0,0,0,0,0,0,NA,180,NA,"1996/2/23",20.35318275154,844,"Serie A","Top Club"
"33","AS Roma","Diego Perotti","2016/7/1","Genoa",7.65,"
                                Attacker                            ","Argentina","Moreno",34,4,9,4,4,3,0,2,1,635,2539,23.9507186858316,"1988/7/26",27.9315537303217,37700,"Serie A","Top Club"
"34","AS Roma","Ervin Zukanovic","2016/7/1","Sampdoria",2.38,"
                                Defender                            ","Bosnia-Herzegovina","Sarajevo",29,3,1,5,5,8,1,1,0,729,2188,35.9425051334702,"1987/2/11",29.3853524982888,2000,"Serie A","Top Club"
"35","AS Roma","Mohamed Salah","2016/7/1","Chelsea",12.75,"
                                Attacker                            ","Egypt","Basyoun, El Gharbia",42,15,9,3,3,1,1,0,0,227,3402,35.9425051334702,"1992/6/15",24.0438056125941,60900,"Serie A","Top Club"
"36","AS Roma","Stephan El Shaarawy","2016/7/1","AC Milan",11.05,"
                                Attacker                            ","Italy","Savona",42,11,3,14,14,2,0,0,0,222,2447,23.9507186858316,"1992/10/27",23.6769336071184,43200,"Serie A","Top Club"
"37","AS Roma","Antonio Rüdiger","2016/7/1","VfB Stuttgart",7.65,"
                                Defender                            ","Germany","Berlin",37,2,0,1,1,5,0,0,0,1647,3294,11.958932238193,"1993/3/3",23.3292265571526,12800,"Serie A","Top Club"
"38","AS Roma","Norbert Gyömber","2016/7/1","Catania",1.28,"
                                Defender                            ","Slovakia","Revuca",7,0,0,6,6,2,0,0,0,NA,183,11.958932238193,"1992/7/3",23.9945242984257,2520,"Serie A","Top Club"
"39","AS Roma","Umar Sadiq","2016/7/1","Spezia Calcio",2.13,"
                                Attacker                            ","Nigeria","Kaduna",25,21,8,4,4,3,0,1,0,82,1728,NA,"1997/2/2",19.4086242299795,7470,"Serie A","Top Club"
"40","AS Roma","Gerson","2016/7/1","Fluminense",14.11,"
                                Midfield                            ","Brazil","Rio de Janeiro",2,0,0,2,2,0,0,0,0,NA,72,41.9876796714579,"1997/5/20",19.1156741957563,32000,"Serie A","Top Club"
"41","AS Roma","Edin Dzeko","2016/7/1","Manchester City",9.35,"
                                Attacker                            ","Bosnia-Herzegovina","Sarajevo",39,10,6,12,12,4,0,1,2,256,2555,23.9507186858316,"1986/3/17",30.2915811088296,90400,"Serie A","Top Club"
"42","Atalanta","Abdoulay Konko","2016/8/19","Lazio",0,"
                                Defender                            ","France","Marseille",29,0,2,1,1,5,0,0,0,NA,2435,NA,"1984/3/9",32.4462696783025,6180,"Serie A","Middle Club"
"43","Atalanta","Bryan Cabezas","2016/8/8","Independiente",1.36,"
                                Attacker                            ","Ecuador","Quevedo",33,4,3,1,1,6,0,0,0,619,2476,NA,"1997/3/20",19.3867214236824,1790,"Serie A","Middle Club"
"44","Atalanta","Alberto Paloschi","2016/7/1","Swansea",5.1,"
                                Attacker                            ","Italy","Chiari",32,10,1,5,5,3,0,0,1,246,2461,35.9425051334702,"1990/1/4",26.4887063655031,12700,"Serie A","Middle Club"
"45","Atlético Madrid","Diogo Jota","2016/7/6","Paços Ferreira",6.12,"
                                Attacker                            ","Portugal","Massarelos",35,14,10,1,1,7,0,1,0,216,3028,47.8028747433265,"1996/12/4",19.5865845311431,4820,"La Liga","Top Club"
"46","Atlético Madrid","Nico Gaitán","2016/7/1","Benfica",21.25,"
                                Attacker                            ","Argentina","San Martín",37,11,20,1,1,4,1,0,0,280,3085,35.9425051334702,"1988/2/23",28.35318275154,9100,"La Liga","Top Club"
"47","Atlético Madrid","Sime Vrsaljko","2016/7/5","Sassuolo",13.6,"
                                Defender                            ","Croatia","Rijeka",36,0,4,0,0,8,1,0,0,NA,3151,35.8110882956879,"1992/1/10",24.4845995893224,9020,"La Liga","Top Club"
"48","Atlético Madrid","Fernando Torres","2016/7/4","AC Milan",0,"
                                Attacker                            ","Spain","Fuenlabrada (Madrid)",44,12,5,19,19,6,1,0,0,211,2530,NA,"1984/3/20",32.290212183436,428000,"La Liga","Top Club"
"49","Atlético Madrid","Kévin Gameiro","2016/7/30","Sevilla FC",27.2,"
                                Attacker                            ","France","Senlis",52,29,7,14,14,5,0,0,7,123,3571,NA,"1987/5/9",29.2265571526352,453000,"La Liga","Top Club"
"50","Bay. Leverkusen","Jonas Meffert","2016/7/1","Karlsruher SC",0.51,"
                                Midfield                            ","Germany","Köln",25,1,4,2,2,3,0,0,0,2019,2019,11.958932238193,"1994/9/4",21.82340862423,302,"Bundesliga","Top Club"
"51","Bay. Leverkusen","Kevin Volland","2016/7/1","TSG Hoffenheim",17,"
                                Attacker                            ","Germany","Marktoberdorf",34,8,10,2,2,9,0,0,2,353,2821,35.9425051334702,"1992/7/30",23.9206023271732,13300,"Bundesliga","Top Club"
"52","Bay. Leverkusen","Julian Baumgartlinger","2016/7/1","1.FSV Mainz 05",3.4,"
                                Midfield                            ","Austria","Salzburg",33,2,1,1,1,7,0,0,0,1449,2897,35.9425051334702,"1988/1/2",28.4955509924709,3140,"Bundesliga","Top Club"
"53","Bay. Leverkusen","Danny da Costa","2016/7/1","FC Ingolstadt",0.425,"
                                Defender                            ","Germany","Neuss",23,0,4,3,3,4,0,0,0,NA,1792,11.958932238193,"1993/7/13",22.9678302532512,3070,"Bundesliga","Top Club"
"54","Bay. Leverkusen","Sam Schreck","2016/7/1","St. Pauli U17",0,"
                                Midfield                            ",NA,NA,23,9,6,0,0,5,0,0,1,199,1789,NA,"1999/1/29",17.4209445585216,457,"Bundesliga","Top Club"
"55","Bay. Leverkusen","Aleksandar Dragovic","2016/8/23","Dynamo Kyiv",15.3,"
                                Defender                            ","Austria","Wien",30,1,1,0,0,4,1,0,0,2649,2649,22.2094455852156,"1991/3/6",25.4674880219028,9460,"Bundesliga","Top Club"
"56","Bayern Munich ","Renato Sanches","2016/7/1","Benfica",29.75,"
                                Midfield                            ","Portugal","Lissabon",47,6,1,4,4,12,1,0,2,621,3728,59.958932238193,"1997/8/18",18.8692676249144,116000,"Bundesliga","Top Club"
"57","Bayern Munich ","Mats Hummels","2016/7/1","Bor. Dortmund",29.75,"
                                Defender                            ","Germany","Bergisch Gladbach",50,3,4,1,1,5,0,0,0,1403,4210,11.958932238193,"1988/12/16",27.5400410677618,157000,"Bundesliga","Top Club"
"58","Bologna","Blerim Dzemaili","2016/8/17","Galatasaray",1.11,"
                                Midfield                            ","Switzerland","Tetovo",27,3,2,5,5,6,1,0,0,595,1786,10.4147843942505,"1986/4/12",30.3490759753593,11700,"Serie A","Middle Club"
"59","Bologna","Deian Boldor","2016/7/1","Virtus Lanciano",0.425,"
                                Defender                            ","Romania","Timisoara",5,0,0,1,1,2,0,0,0,NA,393,23.9507186858316,"1995/2/3",21.4072553045859,153,"Serie A","Middle Club"
"60","Bologna","Lorenzo Crisetig","2016/8/30","Inter",2.3,"
                                Midfield                            ","Italy","Cividale del Friuli",6,0,0,1,1,1,0,0,0,NA,443,33.9712525667351,"1993/1/20",23.6084873374401,1800,"Serie A","Middle Club"
"61","Bologna","Andrea Vassallo","2016/7/7","Milan U19",0,"
                                    30.06.2018                                ","Italy","Milano",13,9,0,2,2,0,0,0,0,107,967,NA,"1997/9/30",18.7679671457906,288,"Serie A","Middle Club"
"62","Bologna","Vasilis Torosidis","2016/8/31","AS Roma",0,"
                                Defender                            ","Greece","Xanthi",15,1,0,8,8,3,0,0,0,727,727,9.95482546201232,"1985/6/10",31.2251882272416,9440,"Serie A","Middle Club"
"63","Bologna","Ladislav Krejcí","2016/7/7","Sparta Praha",3.23,"
                                Attacker                            ","Czech Republic","Prag",42,8,9,4,4,4,1,0,0,446,3565,11.7618069815195,"1992/7/5",24.0054757015743,4650,"Serie A","Middle Club"
"64","Bologna","Lorenzo Musto","2016/7/4","Torres",0,"
                                Attacker                            ","Italy","Roma",36,19,3,6,6,8,0,0,4,130,2471,NA,"1996/1/22",20.4490075290897,52,"Serie A","Middle Club"
"65","Bologna","Godfred Donsah","2016/7/1","Cagliari Calcio",4.25,"
                                Midfield                            ","Ghana","Accra",20,2,2,2,2,2,0,0,0,679,1357,47.9671457905544,"1996/6/7",20.0657084188912,9590,"Serie A","Middle Club"
"66","Bologna","Federico Di Francesco","2016/7/1","Virtus Lanciano",1.19,"
                                Attacker                            ","Italy","Pisa",38,8,5,4,4,4,1,1,0,360,2877,23.9507186858316,"1994/6/14",22.0479123887748,589,"Serie A","Middle Club"
"67","Bologna","Luca Rizzo","2016/7/1","Sampdoria",5.1,"
                                Midfield                            ","Italy","Genova",25,0,3,6,6,2,1,0,0,NA,1560,35.9425051334702,"1992/4/24",24.186173853525,436,"Serie A","Middle Club"
"68","Bologna","Ádám Nagy","2016/7/14","Ferencváros",1.28,"
                                Midfield                            ","Hungary","Budapest",29,0,2,3,3,3,0,0,0,NA,2334,23.523613963039,"1995/6/17",21.0759753593429,1910,"Serie A","Middle Club"
"69","Bologna","Simone Verdi","2016/7/11","AC Milan",1.28,"
                                Midfield                            ","Italy","Broni",21,4,1,12,12,3,0,0,2,219,874,NA,"1992/7/12",23.9972621492129,11700,"Serie A","Middle Club"
"70","Bor. Dortmund","Marc Bartra","2016/7/1","FC Barcelona",6.8,"
                                Defender                            ","Spain","Sant Jaume dels ...",24,2,1,14,14,1,0,0,0,598,1196,23.9507186858316,"1991/1/15",25.4592744695414,164000,"Bundesliga","Top Club"
"71","Bor. Dortmund","Mario Götze","2016/7/21","Bayern Munich ",18.7,"
                                Midfield                            ","Germany","Memmingen",21,6,4,7,7,1,0,0,0,203,1219,11.3018480492813,"1992/6/3",24.1314168377823,238000,"Bundesliga","Top Club"
"72","Bor. Dortmund","André Schürrle","2016/7/22","VfL Wolfsburg",25.5,"
                                Attacker                            ","Germany","Ludwigshafen",41,12,7,14,14,6,0,0,0,213,2558,35.2525667351129,"1990/11/6",25.7084188911704,36900,"Bundesliga","Top Club"
"73","Bor. Dortmund","Emre Mor","2016/7/1","Nordsjaelland",5.95,"
                                Attacker                            ","Turkey","Brönshöj",13,2,2,1,1,1,1,0,0,487,973,35.9425051334702,"1997/7/24",18.9377138945927,22700,"Bundesliga","Top Club"
"74","Bor. Dortmund","Raphaël Guerreiro","2016/7/1","FC Lorient",10.2,"
                                Defender                            ","Portugal","Le Blanc-Mesnil",41,3,2,9,9,3,0,0,0,1015,3044,11.958932238193,"1993/12/22",22.5242984257358,18700,"Bundesliga","Top Club"
"75","Bor. Dortmund","Ousmane Dembélé","2016/7/1","Rennes",12.75,"
                                Attacker                            ","France","Vernon",29,12,5,6,6,1,0,0,1,176,2111,23.9507186858316,"1997/5/15",19.129363449692,26400,"Bundesliga","Top Club"
"76","Bor. Dortmund","Sebastian Rode","2016/7/1","Bayern Munich ",10.2,"
                                Midfield                            ","Germany","Seeheim-Jugenheim",17,1,2,13,13,1,0,0,0,493,493,23.9507186858316,"1990/10/11",25.7221081451061,45800,"Bundesliga","Top Club"
"77","Bor. Dortmund","Mikel Merino","2016/7/1","CA Osasuna",3.19,"
                                Midfield                            ","Spain","Pamplona",38,7,1,2,2,13,0,1,0,465,3257,23.9507186858316,"1996/6/22",20.0246406570842,9390,"Bundesliga","Top Club"
"78","Bor. M'gladbach","Mamadou Doucouré","2016/7/1","Paris SG B",0,"
                                Defender                            ","France","Dakar",7,1,1,0,0,2,0,0,0,630,630,NA,"1998/5/21",18.113620807666,13600,"Bundesliga","Top Club"
"79","Bor. M'gladbach","Tobias Strobl","2016/7/1","TSG Hoffenheim",0,"
                                Midfield                            ","Germany","München",27,0,1,4,4,5,0,0,0,NA,2166,NA,"1990/5/12",26.1382614647502,3060,"Bundesliga","Top Club"
"80","Bor. M'gladbach","Lászlo Bénes","2016/7/1","MSK Zilina",1.7,"
                                Midfield                            ","Slovakia","Dunajská Streda",34,2,5,7,7,6,0,0,0,1208,2416,29.9958932238193,"1997/9/9",18.8090349075975,1310,"Bundesliga","Top Club"
"81","Bor. M'gladbach","Jannik Vestergaard","2016/7/1","Werder Bremen",10.63,"
                                Defender                            ","Denmark","Kopenhagen",38,3,0,0,0,2,0,0,0,1150,3450,23.9507186858316,"1992/8/3",23.9096509240246,5510,"Bundesliga","Top Club"
"82","Bor. M'gladbach","Christoph Kramer","2016/7/1","Bay. Leverkusen",12.75,"
                                Midfield                            ","Germany","Solingen",44,0,3,2,2,5,0,0,0,NA,3599,35.9425051334702,"1991/2/19",25.3634496919918,18000,"Bundesliga","Top Club"
"83","Bournemouth","Lys Mousset","2016/7/1","AC Le Havre",5.53,"
                                Attacker                            ","France","Montivilliers",29,14,3,12,12,0,0,0,3,114,1601,35.9425051334702,"1996/2/8",20.394250513347,1700,"Premier league","Bottom Club"
"84","Bournemouth","Emerson Hyndman","2016/7/1","Fulham FC",0,"
                                Midfield                            ","United States","Dallas, Texas",26,1,0,8,8,1,0,0,0,1610,1610,NA,"1996/4/7",20.2327173169062,3260,"Premier league","Bottom Club"
"85","Bournemouth","Jordon Ibe","2016/7/14","Liverpool",15.3,"
                                Attacker                            ","England","London",43,4,4,21,21,1,0,0,0,561,2245,47.5400410677618,"1995/12/8",20.5995893223819,34900,"Premier league","Bottom Club"
"86","Bournemouth","Marc Wilson","2016/8/15","Stoke City",1.96,"
                                Defender                            ","Ireland","Aghagallon",11,1,0,4,4,2,0,0,0,899,899,22.4722792607803,"1987/8/17",28.9965776865161,34200,"Premier league","Bottom Club"
"87","Bournemouth","Lewis Cook","2016/7/8","Leeds",5.95,"
                                Midfield                            ","England","York",47,2,3,3,3,10,0,1,0,1939,3877,11.7289527720739,"1997/2/3",19.4250513347023,7370,"Premier league","Bottom Club"
"88","Bournemouth","Brad Smith","2016/7/27","Liverpool",3.06,"
                                Defender                            ","Australia","Penrith",14,1,2,2,2,1,1,0,0,1066,1066,35.088295687885,"1994/4/9",22.299794661191,28000,"Premier league","Bottom Club"
"89","Burnley FC","Jeff Hendrick","2016/8/31","Derby",10.03,"
                                Midfield                            ","Ireland","Dublin",36,2,3,12,12,6,0,0,0,1154,2307,21.9466119096509,"1992/1/31",24.5831622176591,29800,"Premier league","Promoted"
"90","Burnley FC","Steven Defour","2016/8/16","RSC Anderlecht",7.31,"
                                Midfield                            ","Belgium","Mechelen",42,3,10,1,1,15,0,0,1,1205,3616,34.4312114989733,"1988/4/15",28.3367556468172,23900,"Premier league","Promoted"
"91","Burnley FC","Johann Berg Gudmundsson","2016/7/19","Charlton",2.55,"
                                Attacker                            ","Iceland","Reykjavík",42,6,13,3,3,5,0,0,0,569,3416,35.3511293634497,"1990/10/27",25.7275838466804,7380,"Premier league","Promoted"
"92","CA Osasuna","Fran Mérida","2016/7/21","SD Huesca",0.425,"
                                Midfield                            ","Spain","Barcelona",39,9,4,4,4,15,1,0,3,339,3047,35.2854209445585,"1990/3/4",26.3819301848049,4250,"La Liga","Promoted"
"93","CA Osasuna","Javi Álamo","2016/8/31","Girona FC",0,"
                                Attacker                            ","Spain","Gáldar",29,0,6,11,11,8,1,0,0,NA,1721,9.95482546201232,"1988/8/18",28.0355920602327,616,"La Liga","Promoted"
"94","CA Osasuna","Juan Rafael Fuentes","2016/8/11","Espanyol",0,"
                                Defender                            ","Spain","Córdoba",10,0,0,1,1,2,0,0,0,NA,758,10.611909650924,"1990/1/5",26.5982203969884,122,"La Liga","Promoted"
"95","CA Osasuna","Fausto","2016/7/1","AD Alcorcón",0,"
                                Midfield                            ","Spain","Talavera la Real",24,0,1,6,6,14,0,0,0,NA,1499,NA,"1990/1/8",26.4777549623546,38700,"La Liga","Promoted"
"96","CA Osasuna","Sergio León","2016/8/24","Elche CF",1.45,"
                                Attacker                            ","Spain","La Palma del Río",42,23,3,1,1,5,0,0,5,154,3544,10.1848049281314,"1989/1/6",27.6303901437372,6190,"La Liga","Promoted"
"97","CA Osasuna","Goran Causic","2016/7/13","Eskisehirspor",0,"
                                Midfield                            ","Serbia","Belgrad",26,0,1,4,4,4,1,0,0,NA,1918,11.564681724846,"1992/5/5",24.1889117043121,1040,"La Liga","Promoted"
"98","CA Osasuna","Jaime Romero","2016/7/4","Udinese Calcio",0,"
                                Attacker                            ","Spain","Albacete",9,1,1,4,4,0,0,0,1,497,497,NA,"1990/7/31",25.927446954141,2520,"La Liga","Promoted"
"99","CA Osasuna","Carlos Clerc","2016/8/19","Espanyol",0,"
                                Defender                            ","Spain","Badalona",45,1,3,4,4,2,0,0,0,3572,3572,NA,"1992/2/21",24.4928131416838,741,"La Liga","Promoted"
"100","Cagliari Calcio","Artur Ionita","2016/7/1","Hellas Verona",3.83,"
                                Midfield                            ","Moldova","Chisinau",32,4,2,4,4,2,0,0,0,618,2470,11.958932238193,"1990/8/17",25.8726899383984,6510,"Serie A","Promoted"
"101","Cagliari Calcio","Bruno Alves","2016/7/1","Fenerbahce",0,"
                                Defender                            ","Portugal","Póvoa de Varzim",41,1,1,0,0,12,0,0,0,3690,3690,NA,"1981/11/27",34.5927446954141,25900,"Serie A","Promoted"
"102","Cagliari Calcio","Marko Pajac","2016/7/2","NK Celje ",0.34,"
                                Midfield                            ","Croatia","Zagreb",15,3,0,3,3,6,1,0,0,353,1059,NA,"1993/5/11",23.1430527036277,161,"Serie A","Promoted"
"103","Cagliari Calcio","Simone Padoin","2016/7/4","Juventus",0.51,"
                                Midfield                            ","Italy","Gemona del Friuli",14,1,0,8,8,2,0,0,0,589,589,NA,"1984/3/18",32.2956878850103,5690,"Serie A","Promoted"
"104","Cagliari Calcio","Marco Borriello","2016/8/3","Atalanta",0,"
                                Attacker                            ","Italy","Napoli",29,9,4,11,11,4,0,1,2,192,1727,NA,"1982/6/18",34.1273100616016,21700,"Serie A","Promoted"
"105","Cagliari Calcio","Mauricio Isla","2016/8/10","Juventus",3.4,"
                                Midfield                            ","Chile","Buin",39,2,2,4,4,2,0,0,0,1563,3125,10.6447638603696,"1988/6/12",28.1615331964408,19800,"Serie A","Promoted"
"106","CD Leganés","Mamadou Koné","2016/8/25","Racing",1.02,"
                                Attacker                            ","Cote d'Ivoire","Bingerville",35,6,3,11,11,2,0,0,0,351,2104,NA,"1991/12/25",24.6680355920602,51000,"La Liga","Promoted"
"107","CD Leganés","Gabriel","2016/7/1","Juventus",0.85,"
                                Midfield                            ","Brazil","Resende",40,8,4,2,2,5,0,0,0,400,3199,NA,"1993/9/18",22.7843942505133,494000,"La Liga","Promoted"
"108","CD Leganés","Gabriel","2016/7/1","Juventus",0.85,"
                                Attacker                            ","Brazil","São Bernardo do ...",10,5,0,0,0,3,0,0,0,173,867,NA,"1996/8/30",19.8357289527721,494000,"La Liga","Promoted"
"109","CD Leganés","Diego Rico","2016/8/17","Real Zaragoza",0.85,"
                                Defender                            ","Spain","Burgos",40,1,3,1,1,10,0,0,0,3524,3524,NA,"1993/2/23",23.4798083504449,649,"La Liga","Promoted"
"110","CD Leganés","Carl Medjani","2016/7/25","Levante UD",0,"
                                Defender                            ","Algeria","Lyon",26,2,0,4,4,3,0,0,0,1049,2097,NA,"1985/5/15",31.1950718685832,37000,"La Liga","Promoted"
"111","CD Leganés","Unai Bustinza","2016/7/18","Athletic Bilbao",0,"
                                Defender                            ","Spain","Bilbao",17,0,0,5,5,4,1,0,0,NA,1133,23.3921971252567,"1992/2/2",24.4572210814511,1380,"La Liga","Promoted"
"112","CD Leganés","Miguel Ángel Guerrero","2016/7/1","Sporting Gijón",0,"
                                Attacker                            ","Spain","Toledo",25,2,1,11,11,2,0,0,0,608,1215,NA,"1990/7/12",25.9712525667351,425,"La Liga","Promoted"
"113","Celta de Vigo","Pione Sisto","2016/7/31","FC Midtjylland",5.1,"
                                Attacker                            ","Denmark","Kampala",42,8,4,11,11,2,0,0,0,329,2629,NA,"1995/2/4",21.4866529774127,4340,"La Liga","Middle Club"
"114","Celta de Vigo","José Naranjo","2016/7/1","Gimnàstic",0.85,"
                                Attacker                            ","Spain","Rociana del Condado",38,16,5,8,8,9,0,0,1,170,2713,23.9507186858316,"1994/7/28",21.927446954141,1130,"La Liga","Middle Club"
"115","Celta de Vigo","Facundo Roncaglia","2016/7/12","Fiorentina",0,"
                                Defender                            ","Argentina","Chajarí",33,1,0,4,4,10,0,1,0,2642,2642,NA,"1987/2/10",29.4182067077344,5330,"La Liga","Middle Club"
"116","Chelsea","Michy Batshuayi","2016/7/3","Marseille",33.15,"
                                Attacker                            ","Belgium","Brussel",50,23,10,5,5,8,0,0,2,180,4150,47.9014373716632,"1993/10/2",22.7515400410678,69700,"Premier league","Middle Club"
"117","Chelsea","Marcos Alonso","2016/8/31","Fiorentina",19.55,"
                                Defender                            ","Spain","Madrid",39,3,4,7,7,9,0,0,0,980,2939,57.9548254620123,"1990/12/28",25.6755646817248,26800,"Premier league","Middle Club"
"118","Chelsea","N'Golo Kanté","2016/7/16","Leicester",30.43,"
                                Midfield                            ","France","Paris",40,1,4,5,5,3,0,0,0,3193,3193,35.4496919917864,"1991/3/29",25.3004791238877,195000,"Premier league","Middle Club"
"119","Chelsea","David Luiz","2016/8/31","Paris SG",32.73,"
                                Defender                            ","Brazil","Diadema",40,3,3,5,5,12,0,0,0,1069,3208,21.9466119096509,"1987/4/22",29.3607118412047,556000,"Premier league","Middle Club"
"120","Chievo Verona","Fabrizio Danese","2016/7/25","Nuorese",0,"
                                Defender                            ","Italy","Roma",30,1,1,0,0,3,2,0,0,2481,2481,NA,"1995/6/26",21.0814510609172,22,"Serie A","Middle Club"
"121","Chievo Verona","Samuel Bastien","2016/8/25","RSC Anderlecht",1.11,"
                                Midfield                            ","Belgium","Meux",31,2,1,10,10,1,0,0,0,918,1836,NA,"1996/9/26",19.9123887748118,1570,"Serie A","Middle Club"
"122","Chievo Verona","Fabio Daprelà","2016/7/1","Carpi",0,"
                                Defender                            ","Switzerland","Zürich",9,0,0,7,7,3,0,0,0,NA,314,NA,"1991/2/19",25.3634496919918,1500,"Serie A","Middle Club"
"123","Chievo Verona","Federico Alonzi","2016/7/6","Nuorese",0,"
                                Attacker                            ","Italy","Frascati",28,10,1,3,3,5,0,1,0,200,2003,NA,"1996/10/15",19.7234770704997,20,"Serie A","Middle Club"
"124","Chievo Verona","Paul-José Mpoku","2016/7/1","Standard Liège",3.4,"
                                Attacker                            ","Congo DR","Kinshasa",20,0,0,14,14,3,0,0,0,NA,752,NA,"1992/4/19",24.1998631074606,1210,"Serie A","Middle Club"
"125","Chievo Verona","Antonio Cinelli","2016/7/19","Cagliari Calcio",0,"
                                Midfield                            ","Italy","Roma",34,2,5,3,3,5,0,0,0,1385,2769,NA,"1989/12/8",26.611909650924,465,"Serie A","Middle Club"
"126","Chievo Verona","Luca Baldassin","2016/7/1","Padova",0,"
                                Midfield                            ","Italy","Vittorio Veneto",27,1,1,5,5,10,1,0,0,1979,1979,NA,"1994/5/28",22.0944558521561,1160,"Serie A","Middle Club"
"127","Chievo Verona","Sergio Cruz","2016/7/1","Lumezzane",0,"
                                Attacker                            ","Brazil","Rio de Janeiro",28,5,0,5,5,5,0,1,0,401,2007,NA,"1988/8/22",27.8576317590691,8930,"Serie A","Middle Club"
"128","Crotone","Ante Budimir","2016/7/1","FC St. Pauli",0.85,"
                                Attacker                            ","Croatia","Zenica",41,17,4,5,5,6,0,0,3,195,3322,23.9507186858316,"1991/7/22",24.9445585215606,3660,"Serie A","Promoted"
"129","Crotone","Noë Dussenne","2016/8/25","Mouscron",0.808,"
                                Defender                            ",NA,NA,37,6,0,1,1,9,1,0,0,540,3238,NA,"1992/4/7",24.3832991101985,407,"Serie A","Promoted"
"130","Crotone","Marcus Rohdén","2016/8/3","IF Elfsborg",0.425,"
                                Midfield                            ",NA,NA,25,6,4,0,0,5,1,0,2,373,2237,NA,"1991/5/11",25.2320328542094,846,"Serie A","Promoted"
"131","Crotone","Andrea Mazzarani","2016/7/8","Modena FC",0,"
                                Midfield                            ","Italy","Roma",16,4,1,6,6,0,0,0,2,202,807,NA,"1989/11/6",26.6694045174538,5460,"Serie A","Promoted"
"132","Crotone","Leonardo Capezzi","2016/7/1","Fiorentina",0.68,"
                                Midfield                            ","Italy","Figline Valdarno",32,2,2,5,5,8,1,0,0,1238,2476,NA,"1995/3/29",21.2594113620808,18300,"Serie A","Promoted"
"133","Crotone","Simy","2016/7/21","Portimonense",0.723,"
                                Attacker                            ","Nigeria","Lagos",46,20,5,9,9,3,0,1,0,170,3397,23.2936344969199,"1992/5/7",24.2053388090349,5280,"Serie A","Promoted"
"134","Crotone","Andrea Nalini","2016/7/1","Salernitana",0,"
                                Attacker                            ","Italy","Isola della Scala",11,0,1,3,3,1,0,0,0,NA,677,NA,"1990/6/20",26.031485284052,535,"Serie A","Promoted"
"135","Crotone","Nicolò Fazzi","2016/7/1","Fiorentina",0.043,"
                                Midfield                            ","Italy","Barga",14,0,0,3,3,5,0,0,0,NA,940,11.958932238193,"1995/3/2",21.3333333333333,174,"Serie A","Promoted"
"136","Crotone","Andrea Scicchitano","2016/8/26","Racing Roma",0,"
                                Midfield                            ","Italy","Cirò Marina",14,0,0,3,3,2,0,0,0,NA,951,NA,"1992/4/26",24.3340177960301,131,"Serie A","Promoted"
"137","Crotone","Mario Sampirisi","2016/7/16","Vicenza",0,"
                                Defender                            ","Italy","Caltagirone",41,0,2,0,0,8,0,2,0,NA,3635,NA,"1992/10/31",23.7070499657769,13900,"Serie A","Promoted"
"138","Crotone","Aleksandar Tonev","2016/7/15","Frosinone",0,"
                                Attacker                            ","Bulgaria","Elin Pelin",22,0,1,11,11,2,0,0,0,NA,1081,NA,"1990/2/3",26.444900752909,25900,"Serie A","Promoted"
