"","X","team","league","transfer.fee.total","lon","lat","V6"
"59",59,"RB Leipzig Germany","Bundesliga",39.78,12.3515611,51.3461081,NA
"60",60,"Real Betis Sevilla Spain","La Liga",18.29,-5.9844589,37.3890924,NA
"61",61,"Real Madrid Spain","La Liga",25.5,-3.7388727,40.3626461,NA
"62",62,"Real Sociedad Spain","La Liga",9.35,-1.9748447,43.3081034,NA
"63",63,"Rennes France","Ligue 1",1.93,-1.6777926,48.117266,NA
"64",64,"Saint-Étienne France","Ligue 1",5.95,4.3871779,45.439695,NA
"65",65,"Sampdoria Italy","Serie A",27.125,8.9526748,44.4155383,NA
"66",66,"Sassuolo Italy","Serie A",18.38,10.7847741,44.54433,NA
"67",67,"SC Bastia France","Ligue 1",0.213,9.450881,42.697283,NA
"68",68,"SC Freiburg Germany","Bundesliga",7.528,8.274477,48.084436,NA
"69",69,"SCO Angers France","Ligue 1",2.635,-0.563166,47.478419,NA
"70",70,"SD Eibar Spain","La Liga",7.155,-2.4715422,43.1832096,NA
"71",71,"Sevilla Fútbol Club Spain","La Liga",47.78,-5.9720262,37.3829877,NA
"72",72,"Stade Malherbe Caen France","Ligue 1",3.618,-0.370679,49.182863,NA
"73",73,"Southampton UK","Premier league",40.13,-1.4043509,50.9097004,NA
"74",74,"Sporting Gijón Spain","La Liga",0.255,-5.6386025,43.5347956,NA
"75",75,"Spurs UK","Premier league",70.13,-2.229091,53.3495191,NA
"76",76,"SSC Napoli Italy","Serie A",61.21,14.2681244,40.8517746,NA
"77",77,"Stoke City UK","Premier league",17.68,-2.179404,53.002668,NA
"78",78,"Sunderland UK","Premier league",30.518,-1.383801,54.906869,NA
"79",79,"SV Darmstadt  Germany","Bundesliga",2.338,8.927711,50.108607,NA
"80",80,"Swansea UK","Premier league",32.23,-3.943646,51.62144,NA
"81",81,"Torino Italy","Serie A",17.785,7.6868565,45.070312,NA
"82",82,"Toulouse France","Ligue 1",5.955,1.444209,43.604652,NA
"83",83,"Hoffenheim Germany","Bundesliga",19.81,8.8429961,49.2728471,NA
"84",84,"UD Las Palmas Spain","La Liga",2.04,28.100462,-15.456771,-15.456771
"85",85,"Udinese Calcio Italy","Serie A",11.48,13.2056341,46.0408771,NA
"86",86,"FC Palermo Italy","Serie A",6.13,12.4181018,44.1047981,NA
"87",87,"Valencia CF Spain","La Liga",28.91,-0.5104759,39.0643597,NA
"88",88,"VfL Wolfsburg Germany","Bundesliga",41.66,10.7979685,52.4257066,NA
"89",89,"Villarreal CF Spain","La Liga",47.86,-0.1165001,39.9391986,NA
"90",90,"Watford UK","Premier league",57.34,-0.39032,51.656489,NA
"91",91,"Werder Bremen Germany","Bundesliga",20.25,8.809285,53.0696545,NA
"92",92,"West Brom UK","Premier league",22.45,-1.995159,52.517664,NA
"93",93,"West Ham UK","Premier league",42.17,0.014525,51.538265,NA
